epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.37368,0.68516,2.81564,1.23802,0.00382,0.9881,0.63668,0.52389,0.4303,2.82632,1.03186,0.00020006,0.00020006,0.00020006
2,7.71736,0.65845,1.60837,1.19347,0.92723,0.15854,0.78143,0.60457,0.59972,2.56712,1.17131,0.000400734,0.000400734,0.000400734
3,10.0187,0.65538,1.41963,1.22021,0.6748,0.67619,0.75298,0.56522,0.70085,1.87076,1.32181,0.000587262,0.000587262,0.000587262
4,12.3507,0.64198,1.31408,1.21507,0.881,0.68036,0.83504,0.57449,0.83914,1.85632,1.38405,0.000759642,0.000759642,0.000759642
5,14.5321,0.70315,1.2252,1.23236,0.68032,0.70041,0.71104,0.44601,1.14001,1.65972,1.76608,0.000917875,0.000917875,0.000917875
6,16.7987,0.7411,1.2612,1.22953,0.52245,0.51933,0.50164,0.30295,1.27058,2.05583,1.79909,0.00106196,0.00106196,0.00106196
7,18.8706,0.68929,1.19521,1.18345,0.52523,0.65476,0.61417,0.43978,0.92547,1.90814,1.4886,0.00114606,0.00114606,0.00114606
8,21.0375,0.69061,1.20976,1.19475,0.70348,0.71032,0.76168,0.50009,1.05709,1.66402,1.68727,0.0010989,0.0010989,0.0010989
9,23.1147,0.66165,1.0535,1.16551,0.83692,0.65596,0.79243,0.58313,0.93344,1.56719,1.59421,0.00105174,0.00105174,0.00105174
10,25.1652,0.6809,1.10757,1.18437,0.78918,0.73571,0.77798,0.50596,1.11924,1.67668,1.70797,0.00100459,0.00100459,0.00100459
11,27.2759,0.63504,0.95526,1.15144,0.84381,0.79018,0.84455,0.56753,1.00382,1.41591,1.56109,0.00095743,0.00095743,0.00095743
12,29.3644,0.66232,0.98565,1.185,0.93139,0.78874,0.89697,0.69318,0.74752,1.21037,1.30099,0.000910273,0.000910273,0.000910273
13,31.818,0.61859,0.95401,1.12914,0.86144,0.83666,0.90582,0.64627,0.82872,1.17738,1.43954,0.000863116,0.000863116,0.000863116
14,33.8794,0.62518,0.96983,1.1577,0.87752,0.81409,0.90553,0.65299,0.86294,1.07588,1.41816,0.000815959,0.000815959,0.000815959
15,36.0245,0.62585,0.91877,1.15385,0.84158,0.85567,0.91417,0.68871,0.7538,1.14915,1.29406,0.000768802,0.000768802,0.000768802
16,38.1347,0.57535,0.85528,1.13394,0.87193,0.86009,0.90691,0.66476,0.84864,1.02803,1.35627,0.000721645,0.000721645,0.000721645
17,40.2164,0.59129,0.86,1.138,0.83087,0.91373,0.92185,0.67641,0.82208,1.03876,1.39259,0.000674488,0.000674488,0.000674488
18,42.4382,0.57738,0.80465,1.11036,0.88243,0.83095,0.92047,0.67458,0.83603,1.06373,1.3742,0.000627331,0.000627331,0.000627331
19,44.6541,0.54262,0.75992,1.0872,0.91005,0.85715,0.92371,0.71571,0.72753,0.90316,1.26904,0.000580174,0.000580174,0.000580174
20,46.8139,0.54942,0.76018,1.09996,0.85554,0.8718,0.88531,0.72466,0.64069,0.97399,1.19197,0.000533017,0.000533017,0.000533017
21,65.3046,0.50354,1.12451,1.08122,0.92957,0.88624,0.93058,0.74628,0.67672,0.86321,1.26718,0.00048586,0.00048586,0.00048586
22,67.383,0.41987,0.94655,1.03776,0.90933,0.93095,0.94162,0.78369,0.60576,0.74725,1.18784,0.000438703,0.000438703,0.000438703
23,69.4629,0.4251,0.86616,0.99932,0.96128,0.89291,0.94472,0.77523,0.62827,0.82384,1.22163,0.000391546,0.000391546,0.000391546
24,71.5827,0.39131,0.82089,0.99378,0.93755,0.88365,0.93002,0.78634,0.59579,0.83375,1.1714,0.000344389,0.000344389,0.000344389
25,73.699,0.3934,0.76619,1.00414,0.96813,0.86429,0.93902,0.77998,0.57095,0.85029,1.12113,0.000297232,0.000297232,0.000297232
26,75.7425,0.38185,0.73488,0.99678,0.92578,0.89762,0.943,0.81519,0.51076,0.79679,1.0702,0.000250075,0.000250075,0.000250075
27,77.7965,0.36455,0.70258,0.99156,0.97475,0.87371,0.95602,0.81894,0.53065,0.76614,1.08578,0.000202918,0.000202918,0.000202918
28,79.8796,0.33954,0.70039,0.95707,0.91859,0.90134,0.94921,0.81244,0.53187,0.76187,1.10233,0.000155761,0.000155761,0.000155761
29,81.8856,0.3308,0.66136,0.94768,0.91661,0.90384,0.94818,0.7982,0.50992,0.76916,1.08474,0.000108604,0.000108604,0.000108604
30,83.9441,0.30115,0.63548,0.92888,0.92002,0.90501,0.95081,0.80471,0.49471,0.73768,1.06932,6.1447e-05,6.1447e-05,6.1447e-05
