epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.7972,0.68065,2.85221,1.22073,0.00417,1,0.60592,0.51811,0.46874,2.80584,1.05358,0.00020006,0.00020006,0.00020006
2,8.18578,0.64145,1.69015,1.20824,0.95641,0.12548,0.83077,0.57302,0.62723,2.56542,1.21166,0.000400734,0.000400734,0.000400734
3,10.7583,0.65508,1.39217,1.21485,0.69085,0.66035,0.73601,0.51474,0.92534,1.89183,1.5831,0.000587262,0.000587262,0.000587262
4,13.6603,0.69016,1.35014,1.2112,0.78135,0.67938,0.80003,0.49889,1.02934,1.92602,1.60514,0.000759642,0.000759642,0.000759642
5,16.1022,0.69826,1.34578,1.20821,0.70416,0.59388,0.69989,0.49167,1.02347,1.77143,1.67297,0.000917875,0.000917875,0.000917875
6,18.4084,0.75485,1.31173,1.24152,0.69777,0.73878,0.74743,0.49711,0.97337,2.08277,1.64897,0.00106196,0.00106196,0.00106196
7,20.7634,0.67918,1.23248,1.1925,0.62572,0.71154,0.74344,0.47283,0.90532,2.3241,1.43419,0.00114606,0.00114606,0.00114606
8,23.176,0.69872,1.22017,1.20062,0.58171,0.66735,0.64422,0.37167,1.21335,2.48119,1.7762,0.0010989,0.0010989,0.0010989
9,25.4977,0.70148,1.13839,1.19512,0.56395,0.48039,0.52771,0.33923,1.43432,2.19656,1.95529,0.00105174,0.00105174,0.00105174
10,27.9217,0.71587,1.12344,1.22161,0.82957,0.52403,0.71005,0.39581,1.31129,1.8349,1.78358,0.00100459,0.00100459,0.00100459
11,30.3395,0.67035,1.0468,1.16946,0.84372,0.71846,0.82631,0.5605,1.0549,1.42558,1.54547,0.00095743,0.00095743,0.00095743
12,32.6765,0.70082,1.06882,1.20717,0.82889,0.71921,0.83267,0.57105,0.97282,1.54353,1.52046,0.000910273,0.000910273,0.000910273
13,34.9423,0.66225,0.99853,1.18488,0.85971,0.83449,0.87804,0.57947,0.91874,1.24601,1.5949,0.000863116,0.000863116,0.000863116
14,37.2752,0.63357,0.9848,1.15879,0.87593,0.81986,0.89187,0.68526,0.77098,1.11853,1.30461,0.000815959,0.000815959,0.000815959
15,39.6144,0.63398,0.95174,1.16128,0.93593,0.81812,0.90401,0.69303,0.74203,1.21904,1.31834,0.000768802,0.000768802,0.000768802
16,41.9085,0.63492,0.8939,1.1674,0.9314,0.90754,0.94281,0.71566,0.69159,1.17051,1.29182,0.000721645,0.000721645,0.000721645
17,44.2031,0.57593,0.87651,1.14349,0.87926,0.85101,0.91131,0.70477,0.68847,1.15402,1.29066,0.000674488,0.000674488,0.000674488
18,46.5275,0.59364,0.8733,1.12454,0.83111,0.80373,0.86371,0.65701,0.78636,1.2621,1.30133,0.000627331,0.000627331,0.000627331
19,48.8245,0.54639,0.81105,1.10812,0.88577,0.83292,0.9133,0.70605,0.77862,1.03726,1.2996,0.000580174,0.000580174,0.000580174
20,51.0433,0.54265,0.78529,1.10298,0.87774,0.87695,0.9268,0.74083,0.64832,0.89774,1.22947,0.000533017,0.000533017,0.000533017
21,71.5473,0.54214,1.20073,1.13786,0.95766,0.87455,0.92798,0.70708,0.74586,0.99486,1.29121,0.00048586,0.00048586,0.00048586
22,73.7741,0.50285,1.09943,1.09476,0.92107,0.87279,0.93636,0.72585,0.65471,0.96605,1.19261,0.000438703,0.000438703,0.000438703
23,75.979,0.44346,0.92226,1.05922,0.96046,0.87472,0.95257,0.76952,0.64283,0.86736,1.21405,0.000391546,0.000391546,0.000391546
24,78.1641,0.41224,0.84656,1.02798,0.89603,0.88567,0.93377,0.78376,0.60917,0.83689,1.19197,0.000344389,0.000344389,0.000344389
25,80.3048,0.41259,0.84958,1.03662,0.9837,0.85879,0.95902,0.80129,0.57206,0.81029,1.15995,0.000297232,0.000297232,0.000297232
26,82.4754,0.38337,0.80011,0.98528,0.9292,0.95007,0.96973,0.8146,0.59204,0.74347,1.17193,0.000250075,0.000250075,0.000250075
27,84.653,0.37887,0.77806,0.98118,0.93554,0.90261,0.96165,0.8002,0.62488,0.73412,1.19137,0.000202918,0.000202918,0.000202918
28,86.9449,0.36217,0.74927,0.97647,0.96835,0.89586,0.9634,0.83638,0.55203,0.70492,1.10404,0.000155761,0.000155761,0.000155761
29,89.1217,0.35247,0.70542,0.96409,0.98823,0.88906,0.96886,0.85034,0.50904,0.69842,1.0778,0.000108604,0.000108604,0.000108604
30,91.2793,0.34186,0.7095,0.96145,0.97171,0.91319,0.97031,0.85354,0.48688,0.67298,1.0728,6.1447e-05,6.1447e-05,6.1447e-05
